model_name,hidden_sizes,dropout_prob,epoch,train_loss,train_acc,test_loss,test_acc
MLP 1 Strato Nascosto,[512],0.2,7,0.034462642110784904,0.9945833333333334,0.06731485398843608,0.9804
MLP 1 Strato Nascosto,[512],0.2,8,0.03029363874995362,0.9956,0.06201779788051094,0.9821
MLP 1 Strato Nascosto,[512],0.2,9,0.027282770604206953,0.9954833333333334,0.06539948567092037,0.9818
MLP 1 Strato Nascosto,[512],0.2,10,0.023428655908639625,0.9948,0.07649571644458175,0.9791
MLP 1 Strato Nascosto,[512],0.2,11,0.024779337811405892,0.9973666666666666,0.06788098387265633,0.9821
MLP 1 Strato Nascosto,[512],0.2,12,0.022967468876181157,0.9946666666666667,0.07671585290750678,0.9799
MLP 1 Strato Nascosto,[512],0.2,13,0.0233694063647261,0.9973333333333333,0.07322499010751926,0.9823
MLP 1 Strato Nascosto,[512],0.2,14,0.01736632752073889,0.99615,0.07906685409637512,0.9811
MLP 1 Strato Nascosto,[512],0.2,15,0.020217511653607245,0.9964666666666666,0.07148513288788469,0.9813
MLP 1 Strato Nascosto,[512],0.2,16,0.019219364809331053,0.9981333333333333,0.07146706605760036,0.9832
MLP 1 Strato Nascosto,[512],0.2,17,0.01441797296037408,0.9981833333333333,0.07584558600339439,0.983
MLP 1 Strato Nascosto,[512],0.2,18,0.015965830214957802,0.9982833333333333,0.07538075095306893,0.982
MLP 1 Strato Nascosto,[512],0.2,19,0.016086070665446515,0.9978166666666667,0.08598001310302963,0.9807
MLP 1 Strato Nascosto,[512],0.2,20,0.01509408126077575,0.99685,0.08560686284536016,0.9827
MLP 1 Strato Nascosto,[512],0.4,1,0.2718448009349898,0.96775,0.11806225216994652,0.9653
MLP 1 Strato Nascosto,[512],0.4,2,0.1301046815643242,0.9789333333333333,0.08662914092169155,0.9732
MLP 1 Strato Nascosto,[512],0.4,3,0.09913531939056255,0.9842166666666666,0.07315986568500182,0.9774
MLP 1 Strato Nascosto,[512],0.4,4,0.08256527892887783,0.98745,0.07064360644464983,0.9785
MLP 1 Strato Nascosto,[512],0.4,5,0.07274805186097937,0.9899,0.06939537144381011,0.9792
MLP 1 Strato Nascosto,[512],0.4,6,0.06181214512415183,0.9919666666666667,0.06553570421901089,0.9802
MLP 1 Strato Nascosto,[512],0.4,7,0.05793957981759551,0.9928333333333333,0.06907301766100145,0.98
